feature,importance
crop_type,73.52494775910749
pest_severity,5.296770001289768
crop_variety,3.954299234784613
labor_input,3.885859015904273
rainfall_variability,3.5567908326446824
soil_type,2.904082513714359
climate_index,0.8581178113637347
rainfall_mm,0.8436381272709574
soil_nitrogen,0.6711964907953408
agro_zone,0.65962878963524
farm_size_ha,0.565251414397976
state,0.5304360057955023
temperature_C,0.45196748361963546
np_ratio,0.40946480581873507
region,0.3963931173841511
soil_pH,0.3444413960633139
soil_fertility_index,0.3304219345931094
soil_phosphorus,0.29642954092821566
pest_type,0.2640312383886816
soil_potassium,0.2558324865001142
